Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [SUSHI FUJI],Price [SUSHI FUJI],In stock [SUSHI FUJI],Low stock [SUSHI FUJI]
anguille,10038,Anguille,MAKI ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,5.50,,
anguille-grillée,10012,Anguille grillée,SUSHI ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,2.50,,
anguille-roll,10114,Anguille roll,SPÉCIAL ROLL ( 8 PIÈCES ),<p>( anguille-grill&eacute;e cheese crevette avocat asperge masago&nbsp;)</p>,N,,,,,,,0.00,,,,N,Y,12.90,,
asperge,10043,Asperge,MAKI ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,5.20,,
avocat,10014,Avocat,SUSHI ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,1.90,,
avocat-1,10032,Avocat,MAKI ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,4.20,,
bière-(iki-bio)-33cl,10191,Bière (IKI Bio) 33cl,BOISSONS,,N,,,,,,,0.00,,,,N,Y,4.50,,
bière-asahi-33cl,10188,Bière Asahi 33cl,BOISSONS,,N,,,,,,,0.00,,,,N,Y,4.50,,
bière-kirin-33cl,10189,Bière Kirin 33cl,BOISSONS,,N,,,,,,,0.00,,,,N,Y,4.50,,
bière-sapporo-33cl,10190,Bière Sapporo 33cl,BOISSONS,,N,,,,,,,0.00,,,,N,Y,4.50,,
boule-de-sésame-6pcs,10156,Boule de sésame 6pcs,ENTRÉE,,N,,,,,,,0.00,,,,N,Y,5.80,,
brochette-crevette-2pcs,10155,Brochette crevette 2pcs,ENTRÉE,,N,,,,,,,0.00,,,,N,Y,8.50,,
cana-roll,10120,Cana roll,SPÉCIAL ROLL ( 8 PIÈCES ),<p>( canard-laqu&eacute; concombre ciboulette )</p>,N,,,,,,,0.00,,,,N,Y,11.90,,
carotte,10048,Carotte,MAKI ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,4.00,,
cheese,10030,Cheese,MAKI ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,4.80,,
cheese-1,10133,Cheese,TULIPE ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,2.00,,
cheese-concombre,10034,Cheese concombre,MAKI ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,4.40,,
cheese-concombre-1,10063,Cheese concombre,SPRING ROLLS ( 6 PIÈCES),,N,,,,,,,0.00,,,,N,Y,5.00,,
cheese-tamago,10039,Cheese tamago,MAKI ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,4.80,,
cheese-coco-mangue,10066,Cheese-coco mangue,SPRING ROLLS ( 6 PIÈCES),,N,,,,,,,0.00,,,,N,Y,5.00,,
chesse-avocat,10047,Chesse avocat,MAKI ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,4.40,,
chirashi-assortiment,10159,Chirashi assortiment,CHIRASHI,,N,,,,,,,0.00,,,,N,Y,17.50,,
chirashi-saumon-avocat,10157,Chirashi saumon avocat,CHIRASHI,,N,,,,,,,0.00,,,,N,Y,16.50,,
chirashi-thon-avocat,10158,Chirashi thon avocat,CHIRASHI,,N,,,,,,,0.00,,,,N,Y,18.50,,
coca-cola-33cl,10182,Coca-Cola 33CL,BOISSONS,,N,,,,,,,0.00,,,,N,Y,2.50,,
coca-cola-zéro-33cl,10183,Coca-Cola Zéro 33cl,BOISSONS,,N,,,,,,,0.00,,,,N,Y,2.50,,
crevette,10005,Crevette,SUSHI ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,2.00,,
crevette-1,10024,Crevette,TEMAKI( 1 PIÈCE ),<p>( crevette aux l&eacute;gumes: asperge concombre avocat takuan )</p>,N,,,,,,,0.00,,,,N,Y,4.80,,
crevette-2,10027,Crevette,MAKI ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,4.80,,
crevette-avocat,10058,Crevette avocat,SPRING ROLLS ( 6 PIÈCES),,N,,,,,,,0.00,,,,N,Y,6.00,,
crevette-avocat-1,10078,Crevette avocat,CALIFORNIA ROLLS ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,6.20,,
crevette-cheese-avocat,10067,Crevette cheese avocat,SPRING ROLLS ( 6 PIÈCES),,N,,,,,,,0.00,,,,N,Y,6.20,,
crevette-cheese-avocat-1,10084,Crevette cheese avocat,CALIFORNIA ROLLS ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,6.20,,
crunch-chicken,10117,Crunch chicken,SPÉCIAL ROLL ( 8 PIÈCES ),<p>( poulet avocat concombre takuan oignon-frits )</p>,N,,,,,,,0.00,,,,N,Y,10.90,,
crunch-roll,10103,Crunch Roll,SPÉCIAL ROLL ( 8 PIÈCES ),<p>( avocat surimi concombre takuan oignon-frits )</p>,N,,,,,,,0.00,,,,N,Y,9.90,,
crunch-saumon,10105,Crunch Saumon,SPÉCIAL ROLL ( 8 PIÈCES ),<p>( avocat saumon concombre takuan oignon-frits )</p>,N,,,,,,,0.00,,,,N,Y,10.90,,
crunch-tempura-crevette,10115,Crunch tempura crevette,SPÉCIAL ROLL ( 8 PIÈCES ),<p>( tempura-crevette avocat concombre takuan oignon-frits )</p>,N,,,,,,,0.00,,,,N,Y,10.90,,
crunch-veggie,10104,Crunch veggie,SPÉCIAL ROLL ( 8 PIÈCES ),<p>( avocat carotte concombre takuan oignon-frits )</p>,N,,,,,,,0.00,,,,N,Y,8.90,,
dragon-eyes-(-saumon-crevette-avocat-),10122,Dragon eyes ( saumon crevette avocat ),HOT ROLL ( FRIT CHAUD DE SUSHI ),,N,,,,,,,0.00,,,,N,Y,8.50,,
dragon-vert,10107,Dragon vert,SPÉCIAL ROLL ( 8 PIÈCES ),<p>( tempura-crevette concombre avocat takuan masago )&nbsp;</p>,N,,,,,,,0.00,,,,N,Y,11.90,,
dream-roll,10121,Dream roll,SPÉCIAL ROLL ( 8 PIÈCES ),<p>( saumon avocat cheese mangue ikura )</p>,N,,,,,,,0.00,,,,N,Y,11.90,,
eau-spa-plate-/-pétillante,10187,Eau SPA plate / pétillante,BOISSONS,,N,,,,,,,0.00,,,,N,Y,2.50,,
edamame,10148,Edamame,SALADE,,N,,,,,,,0.00,,,,N,Y,3.50,,
fanta-orange-33cl,10185,Fanta orange 33cl,BOISSONS,,N,,,,,,,0.00,,,,N,Y,2.50,,
flower-cheese-mangue-ikura,10136,Flower cheese mangue ikura,TULIPE ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,3.00,,
flower-cheese-masago,10134,Flower cheese masago,TULIPE ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,2.60,,
foie-gras-confiture-et-noix-cajou,10064,Foie gras confiture et noix cajou,SPRING ROLLS ( 6 PIÈCES),,N,,,,,,,0.00,,,,N,Y,8.80,,
foie-gras-mangue-1,10090,Foie gras mangue,CALIFORNIA ROLLS ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,8.60,,
foie-gras-oignons-frits-miel,10091,Foie gras oignons-frits miel,CALIFORNIA ROLLS ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,8.60,,
foie-gras-mangue,10017,Foie-gras mangue,SUSHI ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,2.90,,
french-roll,10111,French roll,SPÉCIAL ROLL ( 8 PIÈCES ),<p>( foie-gras tempura-crevette mangue )</p>,N,,,,,,,0.00,,,,N,Y,12.90,,
futomaki,10110,Futomaki,SPÉCIAL ROLL ( 8 PIÈCES ),<p>( crevette avocat poivron-rouge omelette radis jaune concombre carotte )</p>,N,,,,,,,0.00,,,,N,Y,10.90,,
gourmet-roll,10113,Gourmet roll,SPÉCIAL ROLL ( 8 PIÈCES ),<p>( tempura-crevette concombre avocat saumon-grill&eacute; takuan masago )</p>,N,,,,,,,0.00,,,,N,Y,11.90,,
gyoza-crevettes-(raviolis-grillés-japonais)-6pcs,10152,Gyoza crevettes (Raviolis grillés japonais) 6pcs,ENTRÉE,,N,,,,,,,0.00,,,,N,Y,8.00,,
gyoza-poulet-(raviolis-grillés-japonais)-6pcs,10151,Gyoza poulet (Raviolis grillés japonais) 6pcs,ENTRÉE,,N,,,,,,,0.00,,,,N,Y,6.50,,
happy-mix-(40pcs),10174,Happy Mix (40pcs),PLATEAU,,N,,,,,,,0.00,,,,N,Y,37.80,,
hawaii,10126,Hawaii,POKE BOWL,<p>( saumon avocat mangue tomate-cerise salade-chou edamame mais ikura sauce )</p>,N,,,,,,,0.00,,,,N,Y,13.80,,
hokkigai-(par-2),10006,Hokkigai (par 2),SUSHI ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,4.80,,
honolulu,10127,Honolulu,POKE BOWL,<p>( spicy-saumon avocat mangue tomate-cerise wakame takuan mssago sauce )</p>,N,,,,,,,0.00,,,,N,Y,13.80,,
ice-tea-33cl,10184,Ice Tea 33cl,BOISSONS,,N,,,,,,,0.00,,,,N,Y,2.50,,
ikura,10002,Ikura ( oeufs de saumon ),GUNKAN ( PAR PIÈCE ),<p>( Oeufs de saumon )</p>,N,,,,,,,0.00,,,,N,Y,3.00,,
ikura-flower,10135,Ikura flower,TULIPE ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,3.00,,
inari,10016,Inari,SUSHI ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,1.90,,
kappa-(concombre-),10031,Kappa (concombre ),MAKI ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,4.00,,
